,Unnamed: 0,Time,LON,LAT,Temperature above oceans,Air density above oceans,Max wave height,Swell period,Wind wave period,Wave period,Sea surface temperature,Combined wind waves and swell height,Swell height,Wind wave height,Surface pressure,Draught,Width,Length,SOG,COG,Heading,Wind Speed,Current Speed,True Wind Direction,True Current Direction,True Swell Direction,True Wind Wave Direction,True Wave Direction,stw,northcurrdir,nortwinddir
3683,3683,2021-06-15 19:00:00,12.40865407,55.41700342,289.9538574,1.217206955,0.382790446,2.725997925,3.453163147,2.688278198,288.640625,0.216273069,0.21168834,0.019226074,101841.3125,5.376100155,24,158,16.24584083,296.0470967,294.9122919,2.75995924,0.016703624,179.0970642,146.0834699,5.557007442,90.13485588,4.035523067,16.173085437234313,-30.608802709888437,-64.18477235287335
3703,3703,2021-06-16 15:00:00,14.54116231,55.11228769,288.84375,1.222812653,0.342681885,2.477093697,1.833753586,2.336651802,288.3833008,0.197863638,0.166854858,0.09753418,101934.625,5.375269932,24,158,12.67506794,280.1479135,276.7657115,3.385270038,0.081052695,43.91124181,159.4441774,83.84134934,143.7932689,102.9150798,12.524628573931988,-62.678465830512884,-39.32304666311667
3704,3704,2021-06-16 16:00:00,14.13545357,55.18925465,288.793457,1.222504616,0.39069283,2.578912735,2.059181213,2.36199379,288.2475586,0.223064005,0.157989502,0.150054932,101943.25,5.381635899,24,158,17.76343156,283.6198751,281.3680828,4.1617308,0.07122645,24.45967555,162.8424972,105.8531902,155.9972484,133.6815593,17.629676337656104,-61.47441445266545,-54.17224166106814
3705,3705,2021-06-16 17:00:00,13.60292446,55.22787116,288.6870117,1.222711563,0.72827667,3.053318977,2.599525452,2.690281868,287.9450684,0.398961842,0.155029297,0.364746094,101840.0625,5.377633835,24,158,17.94241396,274.519652,272.4007781,5.207050174,0.058651518,29.51062043,168.1196918,127.1716522,155.5860046,151.7574676,17.830068179238605,-75.71891367935464,-58.08860142525304
3706,3706,2021-06-16 18:00:00,13.08324597,55.25024309,288.7399902,1.222252846,0.975795269,3.45835495,2.891760826,2.96616745,287.8574219,0.523433745,0.18371582,0.489257813,101802.875,5.378419045,24,158,18.05413913,275.4613101,273.3302752,6.502400114,0.079940754,22.5059627,140.8928882,145.2422473,159.6128527,157.8483874,17.930244648038684,-47.56261298511707,-64.16376207441034
3713,3713,2021-06-17 01:00:00,13.1770212,55.21071305,288.7336426,1.21935463,1.217246532,3.934845924,3.003517151,3.411897659,288.6992188,0.646379828,0.424423218,0.486022949,101754.25,5.464096455,24,158,17.32351779,98.00789362,96.76819886,5.934062606,0.031291423,149.9740048,50.59735844,10.14805327,28.76062499,20.50560485,17.28600062632142,46.170840419654425,-53.20580595217461
3718,3718,2021-06-17 06:00:00,14.68963568,55.09844223,289.4335938,1.216395378,0.9662323,3.805116653,2.644690514,3.26068306,288.6801758,0.520176351,0.367156982,0.360595703,101715.5625,5.016588046,24,158,0.06459999,343.9554808,173.5444452,5.463454846,0.032160615,153.7120749,169.6708355,64.18258299,29.43839659,46.24508299,0.022079453030164103,3.873610519019302,-32.74347988414727
3722,3722,2021-06-17 13:00:00,14.61756965,55.05634331,291.1108398,1.205307007,1.146771669,3.419205666,3.163246155,3.192765236,288.7192383,0.608134508,0.197921753,0.574859619,101693.6875,4.75463884,24,158,13.72089193,116.5294172,79.55164835,7.831364145,0.034558162,146.3539218,43.42471481,78.45509603,35.71823385,38.82503012,13.709852244248687,36.12693354642562,-66.80227342338087
3724,3724,2021-06-17 15:00:00,14.67165852,55.09673373,291.6713867,1.20437336,1.256350517,3.649356842,3.247047424,3.297122955,288.6801758,0.662008166,0.224392831,0.622055054,101579.1875,5.391651795,24,158,6.192676768,319.8515093,205.666961,8.511521135,0.039945525,82.09849727,165.0408685,57.4767144,97.94609001,94.40478447,6.143956447862499,10.707829513326677,-72.23454175323494
3725,3725,2021-06-17 16:00:00,14.30268254,55.16729047,291.9304199,1.204685211,1.293898344,3.880111694,3.214820862,3.409286499,288.7875977,0.681095779,0.291397095,0.599395752,101621.1875,5.474767787,24,158,20.45103155,290.907649,288.7308623,8.297061574,0.039945525,3.671187433,81.9769672,157.6136748,179.4589875,176.8721892,20.437424721659735,10.707829513326677,-67.5979502576557
3726,3726,2021-06-17 17:00:00,13.75573974,55.23556453,292.3288574,1.199613571,1.430813193,4.131076813,3.269203186,3.570529938,288.8000488,0.751665294,0.344924927,0.642883301,101504.125,5.464153732,24,158,20.09146806,275.0309471,273.0069402,8.045864347,0.062757202,26.35730329,71.90171595,168.851743,162.9372075,160.7344945,20.04982850570414,-15.091343887966259,-60.63575654635387
3727,3727,2021-06-17 18:00:00,13.10587477,55.25843921,292.520752,1.199288368,1.551391006,4.407783508,3.534584045,3.726631165,288.7250977,0.814675629,0.372680664,0.722900391,101434.8125,5.470360625,24,158,20.6622306,272.6741353,271.1173733,7.382694738,0.062757202,35.39737377,73.79128276,174.5612918,156.6792325,162.3726834,20.625336757354205,-15.091343887966259,-53.485252886116335
3728,3728,2021-06-17 19:00:00,12.58860113,55.35004471,293.2463379,1.192648888,1.090410709,4.130449295,3.03037262,3.438554764,289.4165039,0.584310353,0.35005182,0.466796875,101331.0,5.469190139,24,158,19.63292929,304.0044003,301.6912281,6.394323038,0.056806412,3.777836449,51.85817035,177.0846302,178.9542896,177.8960468,19.561463447746032,-6.450601182528498,-54.53093547674195
3729,3729,2021-06-17 20:00:00,12.2432532,55.45734838,294.0012207,1.194648743,,,,,289.6289063,,,,101173.75,5.42952256,24,158,8.039347447,282.5523985,199.136612,5.89319871,0.084564137,113.7449623,155.1564631,,,,7.989370609092813,-5.70692492531077,-47.118425699967645
3735,3735,2021-06-18 02:00:00,13.61066507,55.18528722,292.3352051,1.196310043,1.46511519,4.128582001,3.380042076,3.568035126,289.9660645,0.772013187,0.385375977,0.667724609,101411.0,5.467596526,24,158,20.41212571,98.79010387,98.09298246,7.668135615,0.016703624,110.4877235,17.09722067,13.73247226,60.01300509,50.62413485,20.374040519976933,18.87002078289955,-12.394741077727865
3736,3736,2021-06-18 03:00:00,14.20359501,55.13376874,291.8730469,1.200904846,1.334380388,4.063750267,3.023352623,3.60189724,290.0944824,0.701658785,0.444854736,0.510223389,101558.8125,5.465842434,24,158,20.36156788,100.4449041,99.40917782,7.326454918,0.194327047,109.1446542,86.43912533,41.88786503,63.3260059,54.64711185,20.3484252365806,12.970052486441787,-9.735476334576276
3748,3748,2021-06-18 15:00:00,14.45328764,55.12868789,293.0336914,1.192836761,0.595853925,3.394194603,1.867958069,3.237944603,290.0161133,0.323701262,0.305129945,0.101989746,101462.9375,5.377308076,24,158,18.50668083,285.7282573,284.1156392,5.140722859,0.110428169,20.53649589,43.54621479,132.1520467,166.5842977,135.8796773,18.347558979639636,-32.33814596877063,-55.34786486621605
3749,3749,2021-06-18 16:00:00,13.94697454,55.21855025,293.9287109,1.191109657,0.603065193,3.442483902,2.089698792,3.052469254,290.1379395,0.331282675,0.267883301,0.179016113,101448.625,5.378769638,24,158,18.86642599,280.0874505,278.5055835,5.757937778,0.060516133,20.7722112,30.8802708,132.4657733,158.0690524,142.9007403,18.76393007588108,-50.61414573126734,-60.72220533452729
3750,3750,2021-06-18 17:00:00,13.38658452,55.24559964,293.8393555,1.191255569,0.727348924,3.407380104,2.600012779,2.852936745,289.9660645,0.398941457,0.198974609,0.340332031,101323.1875,5.378523623,24,158,18.84622031,271.8391347,270.126629,6.794899894,0.074270825,25.84208909,60.80446143,130.5732232,155.3214608,148.8977929,18.772472843831814,-29.06890959390036,-64.0312819398047
3752,3752,2021-06-18 19:00:00,12.4247475,55.41557718,294.2849121,1.181071281,0.593097627,3.241322517,2.3254776,2.771351814,290.5463867,0.329374731,0.211517334,0.245056152,101239.625,5.379971698,24,158,16.43751886,297.4682955,295.8170307,5.188800972,0.185667959,9.522786179,79.38345545,160.0305469,173.168166,165.3712452,16.364634404656446,15.20048615979411,-54.660183111137634
3753,3753,2021-06-18 20:00:00,12.19859847,55.455768,294.2302246,1.184051514,,,,,290.869873,,,,101125.8125,5.373878341,24,158,1.102152424,291.8974801,124.7211647,4.319246739,0.016703624,178.4275265,43.72540292,,,,1.0875991960756424,12.448146367035163,-53.70636177350507
3757,3757,2021-06-19 00:00:00,12.99620802,55.22691191,293.666748,1.185930252,1.364323854,3.841443062,3.074867249,3.456677437,289.9770508,0.718401253,0.456054688,0.541015625,101240.5,5.367823535,24,158,18.2352291,101.9373124,101.1605811,7.578182399,0.274516188,124.3748227,77.25206651,3.245676513,54.22757196,32.47287225,18.13206424497496,23.908514604296847,-23.214241538050345
3758,3758,2021-06-19 01:00:00,13.5424754,55.18410958,293.6296387,1.187077522,1.502151847,4.042644501,3.28018856,3.607097626,290.0380859,0.788839936,0.51184082,0.599121094,101253.1875,5.376736607,24,158,18.41796537,96.68658009,96.77927123,7.341231568,0.187588455,105.7768947,87.07013709,22.52298249,71.29664124,51.12491883,18.402341385990482,9.709134140531274,-8.997623474177812
3769,3769,2021-06-19 15:00:00,14.46681961,55.13487468,293.019043,1.188705444,0.721435368,3.300376892,2.020056725,3.231577873,289.871582,0.38971585,0.377258301,0.08416748,101213.75,5.199730165,24,158,17.73465858,289.6662335,283.6814774,4.38878743,0.066384991,144.2141347,17.61999765,113.2735947,40.85994423,112.0333298,17.60829024178984,-58.69852491936185,67.89561216635425
3770,3770,2021-06-19 16:00:00,14.08409459,55.20938477,293.2548828,1.191051483,0.678978801,3.26066494,2.110389709,3.049910545,290.0056152,0.369810581,0.332122803,0.158905029,101262.1875,5.19974941,24,158,18.56832436,279.5313243,277.6803173,4.163975863,0.066384991,175.2920669,23.6211578,113.0377086,6.069263818,97.55392873,18.448550469506415,-58.69852491936185,-87.02761581518843
3771,3771,2021-06-19 17:00:00,13.3426103,55.24555776,293.480957,1.188717842,0.586340606,2.971074104,2.009437561,2.849797249,289.9956055,0.318855703,0.294387817,0.104156494,101206.25,5.199749037,24,158,18.44378882,273.9517374,272.3506783,4.98354957,0.086081705,175.683813,34.93283595,81.20416341,23.83187785,60.55279623,18.30421872697717,-52.71648573992608,88.03449126755739
3772,3772,2021-06-19 18:00:00,12.91381331,55.27156422,293.3647461,1.190256119,0.49962455,2.90615654,2.307533264,2.856595993,289.9770508,0.272458017,0.266842663,0.046142578,101254.375,5.199675981,24,158,18.02377789,281.4569619,280.0948122,4.928580704,0.059435039,172.8003825,5.991265431,76.71950699,33.96552109,74.81101395,17.908627346895727,-73.91392240410221,-87.10480535791328
3773,3773,2021-06-19 19:00:00,12.46565422,55.4003728,294.1643066,1.180081367,0.433043957,2.772496223,3.864906311,2.772496223,290.5732422,0.241080523,0.241134644,2.54e-16,101238.4375,5.199695748,24,158,16.75309716,302.4072564,300.622519,4.182584372,0.066131331,150.9245053,18.07575201,92.00372934,94.68872213,91.99841929,16.6297513891558,-41.30172897354523,-88.45297563190081
3774,3774,2021-06-19 20:00:00,12.20343957,55.45622814,293.2746582,1.183092117,,,,,290.9121094,,,,101142.375,4.88954504,24,158,2.372667951,282.0132825,142.0952291,2.599959957,0.102742302,35.93429197,159.860783,,,,2.2800794652863634,-17.765553884813137,-73.83906285008759
3780,3780,2021-06-20 02:00:00,14.10294422,55.13817171,291.6879883,1.196580887,0.412467778,2.739883423,2.293617249,2.675308228,289.902832,0.229046464,0.221343994,0.050567627,101124.75,5.024423846,24,158,18.26192237,98.71501536,96.92677378,4.387690325,0.243856182,108.4846106,81.67809315,67.25051951,58.02282404,60.60193324,18.21407547450031,15.248680628294467,25.41138439002563
3788,3788,2021-06-20 13:00:00,14.68821705,55.09766517,294.3308105,1.179357529,1.122741938,3.419032097,2.517982483,3.127039909,289.7592773,0.596651852,0.413070679,0.353729248,100648.4375,5.064915372,24,158,1.472303222,293.3592087,156.6950027,6.080451223,0.032775163,156.1674922,168.2932696,41.37732998,29.95932468,19.75219266,1.4184515522922843,-35.01172769650908,0.5275105430467028
3790,3790,2021-06-20 15:00:00,14.51550884,55.12519623,292.6889648,1.185247421,0.891667545,3.241895676,3.864905357,3.241895676,289.6293945,0.477418959,0.477273583,2.54e-16,100635.875,5.10987324,24,158,16.0390625,294.8748661,272.9083169,1.153792573,0.06223398,151.5140137,31.32431461,133.2856821,122.402352,133.2807992,15.919714080893167,-55.76736844768134,64.42233060294687
3791,3791,2021-06-20 16:00:00,14.02403177,55.21147789,293.4936523,1.185851097,0.810132086,3.34231472,2.431312561,3.083403587,289.902832,0.438448548,0.368560791,0.233886719,100741.5625,5.108901051,24,158,19.55691831,279.8568555,278.4846351,6.077874222,0.06223398,178.08383,25.7479965,153.6691748,12.61659306,129.3909308,19.44679550583485,-55.76736844768134,-79.59919490378039
3792,3792,2021-06-20 17:00:00,13.4326282,55.24027146,293.1352539,1.1845541,0.806452453,3.097370148,1.864173889,2.97725296,290.2094727,0.436441004,0.413330078,0.135742188,100703.0,5.109721344,24,158,19.46069764,273.9852298,272.9713453,4.385759362,0.049680082,161.7802234,9.197390223,90.27414073,6.592711075,70.60980357,19.365117705113914,-77.83126445611057,74.7515687085188
3795,3795,2021-06-20 20:00:00,12.19991686,55.45593602,292.3869629,1.189147949,,,,,290.8046875,,,,100674.3125,5.107291008,24,158,1.492151078,286.5537937,131.68125,4.193488482,0.016977902,55.77300344,7.63177099,,,,1.460709795521719,-55.95052098955037,75.90824655239895
3798,3798,2021-06-20 23:00:00,12.58887712,55.33072005,290.5449219,1.202072144,0.519570112,2.931453705,1.570716858,2.867732048,290.2487793,0.287071407,0.279830933,0.061859131,100845.8125,5.013883257,24,158,16.87890822,124.441366,122.9643618,3.927711661,0.016703624,4.758004779,41.96859996,113.9189085,171.052545,115.4739622,16.840327152735647,47.9784587227967,-61.79364302167556
3799,3799,2021-06-21 00:00:00,13.03170875,55.2310453,290.6950684,1.200165749,0.642404437,3.173636436,2.109046936,2.939017296,290.3193359,0.351977527,0.309082031,0.166748047,100792.0,5.034332704,24,158,17.21542708,101.3054396,98.99740947,4.550482561,0.016703624,46.92547013,18.00164768,146.8153804,131.4504124,172.5535854,17.17243529597077,79.28598832665664,-34.07712038738696
3800,3800,2021-06-21 01:00:00,13.55752951,55.18201526,290.6962891,1.201245308,0.662592947,3.151992798,2.100013733,2.927627563,290.5102539,0.361155033,0.309570313,0.172119141,100839.3125,5.021069812,24,158,18.60551073,98.30267617,96.70781284,2.514663454,0.016703624,58.46764621,15.71205105,167.9040036,114.6846195,167.7050357,18.603003793029572,11.52815822300698,-24.8245409497749
3801,3801,2021-06-21 02:00:00,14.09313018,55.13852258,290.5292969,1.201032639,0.64010179,3.333128929,2.544454575,3.19299221,290.5537109,0.346483886,0.320251465,0.106262207,100942.1875,5.022785617,24,158,18.64063745,98.81372412,97.03154747,2.554465382,0.108124497,29.46099611,77.00941671,169.6278764,98.55220787,163.7779769,18.600927046027714,20.022130762946837,-53.50745641815423
3811,3811,2021-06-21 15:00:00,14.49253798,55.13056269,292.534668,1.193115234,0.820321262,3.367830276,2.182581902,3.20523262,289.9353027,0.440965712,0.407897949,0.163818359,100496.6875,5.380445582,24,158,17.62964286,290.4946241,279.2713245,0.6579856,0.11324875,118.6609465,77.57378121,131.0623394,47.71442448,131.6782109,17.542497515011398,-3.1548940810410144,-19.389622010962
3812,3812,2021-06-21 16:00:00,14.0156031,55.21747692,292.9506836,1.19630146,0.717793524,3.320830345,2.423622131,3.159135818,290.5537109,0.387266219,0.35357058,0.156921387,100591.125,5.383892717,24,158,19.22221621,278.3287027,275.9574675,1.471802151,0.096089714,125.1905162,49.5252453,143.8441339,24.73781725,146.5908189,19.095691801360502,-34.517287187824145,-29.233048700333924
3813,3813,2021-06-21 17:00:00,13.37180714,55.24540841,292.0341797,1.196211815,0.634404898,3.2742939,2.053627014,3.076295853,290.420166,0.345528781,0.313977063,0.139587402,100593.625,5.383342533,24,158,19.01354229,273.196471,272.2819347,2.462519016,0.021376126,88.81365245,18.61088735,142.7155933,12.55830575,131.6940632,18.9739617337614,-69.10717716621515,3.4682822748846327
3814,3814,2021-06-21 18:00:00,12.92002773,55.26458864,290.9282227,1.196457863,0.681240499,3.36102581,2.417151451,2.95086956,290.3193359,0.371233404,0.272583008,0.247802734,100683.3125,5.379407987,24,158,15.74836753,279.4871882,279.6069868,4.186380346,0.021376126,137.8311434,11.28583525,143.2515413,41.0067827,90.32580297,15.707639323279995,-69.10717716621515,-38.22415654153352
3815,3815,2021-06-21 19:00:00,12.51415746,55.38367842,288.8476563,1.207587242,0.79330653,3.089577675,2.691688538,2.772866249,290.2487793,0.431268334,0.189252257,0.387145996,100719.75,5.379034545,24,158,17.78139519,305.6988104,304.9695308,5.613513395,0.019015311,150.280019,13.28000695,2.546312993,24.2118352,23.49024707,17.745534862438795,-68.31047618332998,-25.31048824438654
3820,3820,2021-06-22 00:00:00,12.6934163,55.29458861,288.0566406,,,,,,,,,,100899.0625,5.445601059,24,158,19.97741022,118.860802,116.6578247,5.257079028,0.016703624,30.09244023,35.66206287,,,,19.965489740008707,55.59487986296712,-33.2497351100798
3822,3822,2021-06-22 02:00:00,13.86364828,55.1609212,289.1733398,1.208445549,0.812524021,3.616177559,2.625160217,3.144558907,290.1369629,0.438628137,0.254455507,0.342773438,100913.0625,5.475130467,24,158,20.9724846,99.2351273,97.2849423,5.775345599,0.08859027,44.71379011,34.8186011,75.47879949,137.6278683,103.4343564,20.834796051613655,62.46634119583781,-38.001267590386256
3824,3824,2021-06-22 04:00:00,14.68962756,55.09833821,289.4638672,1.203619957,0.922149658,3.716524124,2.771644592,3.020845413,290.2177734,0.489099443,0.242736757,0.422119141,100778.875,5.475181429,24,158,0.251341282,289.5253965,173.5870305,7.033397303,0.050494811,39.46087471,3.557841956,116.4284649,135.6805477,142.6864376,0.23242206367056753,-2.855127927719296,-45.873844258158876
3836,3836,2021-06-22 16:00:00,13.98523953,55.2173895,290.5766602,1.213072777,1.325903416,3.927869797,3.2629776,3.414916039,290.1691895,0.693676054,0.244873047,0.643127441,101412.0625,5.377201511,24,158,19.29032841,279.324304,278.1578369,7.779575478,0.05485129,165.1279181,19.24415168,20.43856813,9.200408925,7.832489003,19.189000110390126,-62.598011412656625,83.28575502191703
3837,3837,2021-06-22 17:00:00,13.35187661,55.24904019,290.779541,1.213293076,1.242768049,3.690554619,3.194374084,3.247834206,290.1877441,0.65810132,0.203185976,0.624938965,101388.625,5.378806155,24,158,19.10071259,273.0343864,271.498757,6.49716768,0.056436397,169.0379502,116.9573027,31.89815464,2.038918116,0.200644872,19.04862365501925,-25.458545698278076,80.53670720456367
3838,3838,2021-06-22 18:00:00,12.87985327,55.27311151,290.8068848,1.213147163,1.099550009,3.531209946,3.066810608,3.124022484,290.1977539,0.585603356,0.1950683,0.551025391,101448.125,5.383249616,24,158,17.31931373,283.4243735,281.0316959,6.198388253,0.164058287,155.2620076,164.5704282,25.21957737,9.446185642,10.69578891,17.00878890801467,-63.5387322828127,76.29370346743545
3839,3839,2021-06-22 19:00:00,12.43760286,55.40809853,291.2524414,1.208197594,0.532046258,2.895728111,2.111121178,2.660132408,290.3598633,0.296130359,0.22254914,0.175933838,101396.875,5.374695611,24,158,17.66258923,298.1786388,295.992906,4.112229481,0.088081652,140.9881323,164.1496603,41.71367016,20.72313061,35.52076855,17.4962690142996,-48.15675431187792,76.98103832350331
3843,3843,2021-06-22 23:00:00,12.54546899,55.34800249,289.1337891,1.217560768,0.474298477,2.915136337,2.074255943,2.626379013,290.265625,0.265490294,0.204004109,0.162536621,101517.4375,5.470284906,24,158,17.25983734,124.3843247,123.1180292,4.424659737,0.016703624,28.25989283,42.12226739,134.0524725,154.1409125,140.4683966,17.12629514389288,74.06918954736102,-85.1418636503832
3846,3846,2021-06-23 02:00:00,14.12032532,55.13535506,289.4191895,1.216317177,0.880281568,3.83891201,2.526465416,3.378340721,290.3376465,0.472453296,0.365324974,0.293151855,101608.0625,5.465605251,24,158,19.26275605,97.82349451,95.84927053,5.051171145,0.077200826,16.20499654,97.03609133,170.3456758,168.9452483,176.4784272,19.250096147541374,12.885361858735463,-67.94573293036689
3850,3850,2021-06-23 06:00:00,14.68409105,55.09566939,289.597168,1.215654373,0.994692326,3.851354599,2.86063385,3.336706161,290.2341309,0.533668816,0.331881702,0.403839111,101581.1875,5.469142771,24,158,1.292412365,304.7573078,188.2104509,6.288358379,0.059162591,91.89761278,11.22338076,99.83148024,88.1513655,91.51293776,1.2253517172658976,-3.012930330695785,-83.68716187681463
3859,3859,2021-06-23 15:00:00,14.45842919,55.14017041,290.5371094,1.216015816,1.0156672,3.498263359,2.823097229,3.065768242,290.2084961,0.542203784,0.244522095,0.470504761,101936.6875,5.292372055,24,158,18.20920076,288.3338354,286.5181961,7.09922876,0.064373001,142.0139866,139.0547148,25.65100859,30.19968413,28.01889799,18.112308422002652,-32.53651869456475,68.53218268939655
3860,3860,2021-06-23 16:00:00,13.95660313,55.21761335,291.0922852,1.215393066,0.746684134,3.288419724,2.448951721,2.896512985,290.3376465,0.406948686,0.258239746,0.299728394,101959.6875,5.291079667,24,158,19.08224852,278.3538485,277.025595,6.265453251,0.071895521,157.0987179,135.9775864,26.32549129,17.66884456,20.37856136,18.979770736337223,-38.95199131494783,74.12431299578905
3861,3861,2021-06-23 17:00:00,13.34167151,55.24879105,291.0881348,1.213967323,0.543826282,2.969724655,2.174414635,2.652708054,290.1965332,0.303689599,0.222885132,0.200881958,101949.875,5.289384763,24,158,19.09093199,273.4684199,272.8889633,5.189808741,0.08014516,173.3964023,167.4623872,17.14982752,0.206254522,10.40196375,18.938554023157096,-74.57342390891002,86.28536557211456
3862,3862,2021-06-23 18:00:00,12.84609935,55.28367211,291.314209,,,,,,,,,,101930.375,5.290185311,24,158,18.763035,286.6665254,285.5937905,3.449064105,0.14469357,172.5695469,167.1319974,,,,18.49018804952999,-87.27421201232741,-66.97575643156429
3863,3863,2021-06-23 19:00:00,12.39715791,55.42254437,291.0212402,1.212107658,0.269236267,2.27923584,3.427406311,2.253723145,290.265625,0.161052823,0.158110201,0.014068604,101870.0,5.290523225,24,158,16.53628015,293.7911203,291.956335,3.015967735,0.016703624,164.4833594,149.0394268,23.88913533,88.88298038,23.50882527,16.495105869407784,-16.503886396298242,-52.52702436177106
3864,3864,2021-06-23 20:00:00,12.19706023,55.45555789,290.364502,1.214083672,,,,,290.2814941,,,,101808.5625,5.292139851,24,158,0.108323049,289.0232387,109.2106678,2.07023821,0.016703624,0.178501005,28.21490597,,,,0.024309246491750026,-60.39605585878525,-70.61083122673006
3866,3866,2021-06-23 22:00:00,12.21588085,55.45627311,288.4104004,1.216937065,,,,,290.4614258,,,,101831.125,5.338019078,24,158,4.66785105,217.5642002,104.782774,1.63843659,0.016703624,5.504524276,23.78701223,,,,4.566771605874881,-89.83023556130846,-69.71270167862654
